rank,language
1,JavaScript
2,Python
3,Java
4,PHP
5,C#
6,CSS
7,C++
7,TypeScript
9,Ruby
10,C
11,Swift
12,R
12,Objective-C
14,Shell
15,Scala
15,Go
17,PowerShell
17,Kotlin
19,Rust
19,Dart
