rank,language
1,JavaScript
2,Java
3,Python
4,PHP
5,C#
6,C++
7,CSS
8,Ruby
9,C
9,Objective-C
11,Swift
12,Scala
12,Shell
14,Go
14,R
16,TypeScript
17,PowerShell
18,Perl
19,Haskell
20,Lua
