rank,language
1,JavaScript
2,Python
3,Java
4,PHP
5,CSS
5,C#
7,C++
8,TypeScript
9,Ruby
10,C
11,Swift
12,R
13,Objective-C
14,Shell
14,Scala
16,Go
17,PowerShell
18,Kotlin
19,Rust
20,Dart
