rank,language
1,JavaScript
2,Python
3,Java
4,PHP
5,C#
6,TypeScript
6,CSS
8,C++
9,Ruby
10,C
11,Swift
12,Go
12,R
14,Shell
14,Objective-C
16,Scala
17,Kotlin
18,PowerShell
19,Rust
19,Dart
