rank,language
1,JavaScript
2,Python
3,Java
4,PHP
5,C++
5,C#
7,Ruby
7,CSS
9,TypeScript
10,C
11,Swift
11,Objective-C
13,R
14,Scala
15,Go
15,Shell
17,PowerShell
18,Perl
19,Kotlin
20,Rust
