rank,language
1,JavaScript
2,Python
3,Java
4,PHP
5,C#
6,CSS
7,TypeScript
7,C++
9,Ruby
10,C
11,Swift
12,Shell
12,R
14,Go
14,Scala
16,Objective-C
17,Kotlin
18,PowerShell
19,Rust
19,Dart
