rank,language
1,JavaScript
2,Java
3,Python
4,PHP
5,C++
5,C#
7,CSS
8,Ruby
9,C
10,TypeScript
11,Swift
12,Objective-C
13,Scala
14,Shell
15,R
16,Go
17,PowerShell
18,Perl
19,Haskell
20,Kotlin
